from,to,weight,in.out
1,48,4,FALSE
1,63,1,FALSE
1,133,2,FALSE
1,136,2,FALSE
1,230,3,FALSE
1,488,1,FALSE
2,108,1,FALSE
2,160,1,FALSE
2,486,1,FALSE
2,309,4,FALSE
2,310,1,FALSE
3,225,1,TRUE
7,3,1,FALSE
7,114,4,FALSE
7,225,2,FALSE
7,266,2,FALSE
7,285,1,TRUE
8,309,2,FALSE
9,24,7,FALSE
9,33,1,FALSE
9,43,6,TRUE
9,422,11,FALSE
9,74,18,FALSE
9,81,9,FALSE
9,82,4,FALSE
9,163,1,TRUE
9,216,1,TRUE
9,269,4,TRUE
9,292,5,TRUE
9,325,2,TRUE
9,502,4,FALSE
9,377,8,TRUE
11,30,3,TRUE
11,74,2,FALSE
11,82,1,FALSE
12,42,11,TRUE
12,55,2,TRUE
14,190,1,FALSE
14,268,1,FALSE
15,146,1,FALSE
15,300,5,FALSE
17,48,9,FALSE
17,183,1,TRUE
19,14,1,FALSE
19,21,1,FALSE
19,48,3,FALSE
19,95,1,TRUE
19,116,12,FALSE
19,133,3,FALSE
19,169,1,TRUE
19,181,2,FALSE
19,205,16,FALSE
19,211,1,FALSE
19,227,2,FALSE
19,238,1,FALSE
19,268,1,TRUE
19,291,1,FALSE
19,309,9,FALSE
19,339,11,FALSE
19,340,2,FALSE
20,28,2,FALSE
20,48,10,FALSE
20,63,3,FALSE
20,133,4,FALSE
20,160,4,FALSE
20,177,1,FALSE
20,201,2,FALSE
20,474,1,FALSE
20,291,4,FALSE
20,309,1,FALSE
20,342,1,FALSE
20,372,2,FALSE
20,390,2,FALSE
20,392,1,FALSE
21,19,1,FALSE
22,49,2,TRUE
22,63,3,TRUE
23,33,1,FALSE
23,190,1,FALSE
23,268,2,FALSE
24,414,1,FALSE
24,9,7,FALSE
24,27,13,FALSE
24,30,2,FALSE
24,33,13,FALSE
24,37,8,FALSE
24,40,20,FALSE
24,43,5,FALSE
24,422,1,FALSE
24,54,2,FALSE
24,59,2,FALSE
24,62,4,FALSE
24,70,3,FALSE
24,75,1,FALSE
24,81,13,FALSE
24,85,2,FALSE
24,88,15,FALSE
24,90,13,FALSE
24,91,1,FALSE
24,92,4,FALSE
24,97,33,FALSE
24,109,4,FALSE
24,117,16,FALSE
24,118,7,FALSE
24,121,7,FALSE
24,123,1,FALSE
24,130,6,FALSE
24,139,16,FALSE
24,161,7,FALSE
24,169,4,FALSE
24,180,15,FALSE
24,188,11,FALSE
24,190,18,FALSE
24,199,32,FALSE
24,204,2,FALSE
24,216,13,FALSE
24,248,12,FALSE
24,268,13,FALSE
24,273,11,FALSE
24,288,4,FALSE
